,adresses,lat,long
0,2153 New South Wales Australia,-33.7613862,150.9889238
1,2155 New South Wales Australia,-33.6880666,150.9423702
2,2166 New South Wales Australia,-33.8961316,150.9365521
3,2170 New South Wales Australia,-33.9477825,150.9190988
4,4300 Queensland Australia,-27.6453606,152.908824
5,2145 New South Wales Australia,-33.8173961,150.9481887
6,3977 Victoria Australia,-38.1347885,145.2811778
7,2759 New South Wales Australia,-33.8060826,150.7853574
8,2065 New South Wales Australia,-33.8269489,151.195674
9,2261 New South Wales Australia,-33.3603327,151.4318742
10,2567 New South Wales Australia,-34.048387,150.7562989
11,2148 New South Wales Australia,-33.7849921,150.9016476
12,2099 New South Wales Australia,-33.7500081,151.2860306
13,2075 New South Wales Australia,-33.7204426,151.1694511
14,2763 New South Wales Australia,-33.7206583,150.8900145
15,4350 Queensland Australia,-27.5564884,151.9533185
16,2770 New South Wales Australia,-33.7610185,150.8086082
17,2760 New South Wales Australia,-33.7520107,150.7737333
18,2147 New South Wales Australia,-33.7632936,150.9365521
19,2880 New South Wales Australia,-30.5512963,141.6834275
20,2160 New South Wales Australia,-33.8365794,150.9831038
21,2250 New South Wales Australia,-33.3502247,151.1869325
22,2340 New South Wales Australia,-31.2814691,151.0471355
23,4118 Queensland Australia,-27.6749806,153.0500809
24,2761 New South Wales Australia,-33.7393563,150.8434913
25,2768 New South Wales Australia,-33.7278158,150.9278252
26,4226 Queensland Australia,-28.0648601,153.3859379
27,2093 New South Wales Australia,-33.8055737,151.2627078
28,2233 New South Wales Australia,-34.1193032,151.0704263
29,2287 New South Wales Australia,-32.9018298,151.6654939
30,4503 Queensland Australia,-27.2508424,152.9926352
31,2428 New South Wales Australia,-32.2735633,152.4738975
32,4034 Queensland Australia,-27.3645676,153.0441933
33,2066 New South Wales Australia,-33.8126017,151.1694511
34,4740 Queensland Australia,-21.1499948,149.1271385
35,2154 New South Wales Australia,-33.7270691,150.9947439
36,2750 New South Wales Australia,-33.744767,150.6865817
37,2100 New South Wales Australia,-33.76459790000001,151.2627078
38,2560 New South Wales Australia,-34.2364674,150.8144215
39,2450 New South Wales Australia,-30.16526,152.9676695
40,4551 Queensland Australia,-26.7977396,153.1359352
41,3046 Victoria Australia,-37.7044261,144.9336544
42,4701 Queensland Australia,-23.3500536,150.5501151
43,2216 New South Wales Australia,-33.9531396,151.1490585
44,2026 New South Wales Australia,-33.8922511,151.2714535
45,2756 New South Wales Australia,-33.3137032,150.7214362
46,2176 New South Wales Australia,-33.8709405,150.8783824
47,3121 Victoria Australia,-37.8203499,144.9997396
48,4014 Queensland Australia,-27.3743379,153.0912986
49,2126 New South Wales Australia,-33.72874669999999,151.0413133
50,4209 Queensland Australia,-27.852293,153.2992885
51,2570 New South Wales Australia,-34.0252949,150.6285091
52,3043 Victoria Australia,-37.7044206,144.8786231
53,4055 Queensland Australia,-27.3901209,152.9323602
54,4670 Queensland Australia,-24.8822309,152.3593807
55,3677 Victoria Australia,-36.3742363,146.3264849
56,2036 New South Wales Australia,-33.9735997,151.2393885
57,4165 Queensland Australia,-27.5833177,153.2999867
58,2323 New South Wales Australia,-32.9103365,151.4902483
59,3150 Victoria Australia,-37.8921876,145.1706992
60,2200 New South Wales Australia,-33.9200458,151.0296696
61,2747 New South Wales Australia,-33.7568098,150.7330562
62,2259 New South Wales Australia,-33.2059456,151.3501856
63,3175 Victoria Australia,-38.0191689,145.2148736
64,4152 Queensland Australia,-27.5070527,153.1030766
65,4213 Queensland Australia,-28.142191,153.3347271
66,2077 New South Wales Australia,-33.6924088,151.0995447
67,4702 Queensland Australia,-23.6457869,149.3303348
68,3630 Victoria Australia,-36.4615673,145.5579927
69,3064 Victoria Australia,-37.5424079,144.9391595
70,2168 New South Wales Australia,-33.9117729,150.8783824
71,4053 Queensland Australia,-27.3957404,152.9853264
72,2118 New South Wales Australia,-33.7799114,151.0413133
73,4305 Queensland Australia,-27.6372514,152.7676633
74,2211 New South Wales Australia,-33.9608964,151.0296696
75,4306 Queensland Australia,-27.5224191,152.6853649
76,2204 New South Wales Australia,-33.9086291,151.1548847
77,2767 New South Wales Australia,-33.7585633,150.8783824
78,4017 Queensland Australia,-27.3190241,153.0339889
79,3195 Victoria Australia,-38.0005492,145.1044805
80,4220 Queensland Australia,-28.0963527,153.4331163
81,2234 New South Wales Australia,-34.0161592,151.006385
82,4870 Queensland Australia,-16.918648,145.7405497
83,2230 New South Wales Australia,-34.0621862,151.1461455
84,4217 Queensland Australia,-28.004695,153.4095259
85,2165 New South Wales Australia,-33.8702903,150.9452794
86,4215 Queensland Australia,-27.965505,153.4036287
87,3156 Victoria Australia,-37.9368007,145.3032906
88,2096 New South Wales Australia,-33.7738038,151.2889461
89,2217 New South Wales Australia,-33.9757081,151.1374068
90,2830 New South Wales Australia,-32.1754247,148.6001005
91,2047 New South Wales Australia,-33.8523805,151.1548847
92,2226 New South Wales Australia,-34.0106901,151.0646032
93,2040 New South Wales Australia,-33.8779521,151.1548847
94,3806 Victoria Australia            35,-38.0264207,145.3475331
95,2164 New South Wales Australia     35,-33.8492918,150.9132815
96,3082 Victoria Australia,-37.6649616,145.0658766
97,2530 New South Wales Australia,-34.5227686,150.7446771
98,2073 New South Wales Australia,-33.7627554,151.134494
99,4127 Queensland Australia,-27.629563,153.1443045
100,2120 New South Wales Australia,-33.7274311,151.0762495
101,2190 New South Wales Australia,-33.90558,151.0529578
102,4178 Queensland Australia,-27.4437553,153.17369
103,2142 New South Wales Australia,-33.8323277,151.006385
104,2203 New South Wales Australia,-33.9041707,151.1374068
105,3130 Victoria Australia,-37.8258214,145.1541397
106,3350 Victoria Australia,-37.5691087,143.8563224
107,4035 Queensland Australia,-27.3565346,152.9794406
108,3136 Victoria Australia,-37.7983502,145.2811778
109,2150 New South Wales Australia,-33.8151823,151.0092954
110,2566 New South Wales Australia,-34.0317453,150.8493059
111,4825 Queensland Australia,-20.6905688,138.3988186
112,4211 Queensland Australia,-27.995579,153.3222261
113,3810 Victoria Australia,-38.0578366,145.4693163
114,2527 New South Wales Australia,-34.5764532,150.7562989
115,2745 New South Wales Australia,-33.8479652,150.6517354
116,3149 Victoria Australia,-37.8772869,145.1265477
117,2285 New South Wales Australia,-32.9110348,151.6187438
118,2010 New South Wales Australia,-33.8851098,151.2140673
119,4500 Queensland Australia,-27.3033237,152.9323602
120,2304 New South Wales Australia,-32.877603,151.7356433
121,3188 Victoria Australia,-37.93940310000001,145.0135139
122,2138 New South Wales Australia,-33.8462611,151.0908086
123,4132 Queensland Australia,-27.6781718,153.0912986
124,2119 New South Wales Australia,-33.7551665,151.0646032
125,4655 Queensland Australia,-25.2965245,152.8235456
126,3111 Victoria Australia,-37.7901921,145.1872619
127,2320 New South Wales Australia,-32.7147232,151.5369624
128,2251 New South Wales Australia,-33.4721323,151.38519
129,2021 New South Wales Australia,-31.2532183,146.921099
130,2117 New South Wales Australia,-33.7973906,151.0296696
131,4869 Queensland Australia,-17.0187557,145.7448496
132,2000 New South Wales Australia,-33.8708464,151.20733
133,2112 New South Wales Australia,-33.807991,151.1111936
134,2031 New South Wales Australia,-33.9122447,151.2393885
135,2196 New South Wales Australia,-33.92931310000001,151.0558691
136,4210 Queensland Australia,-27.9336003,153.2805288
137,2137 New South Wales Australia,-33.8543494,151.1024569
138,4570 Queensland Australia,-26.1882554,152.6705427
139,2016 New South Wales Australia,-33.892215,151.205873
140,2650 New South Wales Australia,-35.283152,147.4174803
141,4818 Queensland Australia,-19.2049974,146.5168094
142,2580 New South Wales Australia,-34.7206289,149.7487272
143,2220 New South Wales Australia,-33.9583688,151.0995447
144,3015 Victoria Australia,-37.83520970000001,144.8786231
145,2068 New South Wales Australia,-33.7992003,151.20733
146,2076 New South Wales Australia,-33.7085861,151.1228434
147,2089 New South Wales Australia,-33.8379923,151.2189869
148,3023 Victoria Australia,-37.7687064,144.7521888
149,2753 New South Wales Australia,-33.6149421,150.6981989
150,2032 New South Wales Australia,-33.9279209,151.2306446
151,2322 New South Wales Australia,-32.8189255,151.6654939
152,3028 Victoria Australia,-37.87603989999999,144.7796581
153,2177 New South Wales Australia,-33.8946607,150.8812903
154,3029 Victoria Australia,-37.8282806,144.7082568
155,2199 New South Wales Australia,-33.9050378,151.0209375
156,2210 New South Wales Australia,-33.9566557,151.0529578
157,3071 Victoria Australia,-37.7600493,145.0080039
